chave_produto,praca,pontos,alcance,impactos,frequencia
CI548,PE,17,1061458,3528855,3.3245356858208237
CI547,PE,41,1686727,8802320,5.218580125888778
CI546,PE,17,1153502,3506576,3.039939245879071
CI442,PE,27,1312460,4966693,3.784262377520077
CI43,PE,44,779619,3280132,4.2073525658045785
CI296,PE,77,2368459,16635671,7.023837440293456
CI521,RS,31,710597,3071031,4.321761842507075
CI444,RS,42,891994,4372861,4.902343513521392
CI440,RS,81,1423290,9515873,6.685828608365126
CI439,RS,24,929952,3209078,3.4507996111627266
CI299,RS,25,703293,2219399,3.1557245699871888
CI298,RS,28,749905,3099895,4.133716937478748
CI291,RS,34,757190,3061258,4.042919214464005
CI572,CE,30,2340521,8298646,3.5456404791924534
CI477,CE,52,1393426,7800514,5.59808271124552
CI497,PR,50,906939,2598223,2.864826631118521
CI16,PR,21,742339,1732118,2.3333248017415222
CI540,CP,2,27398,33092,1.2078253887145047
CI539,CP,1,14644,17060,1.1649822452881726
CI538,CP,2,12337,15104,1.2242846721245035
CI537,CP,2,15004,18039,1.20227939216209
CI536,CP,2,12051,13785,1.1438884739855613
CI535,CP,2,32065,40402,1.2600031186652112
CI534,CP,2,46200,61703,1.3355627705627706
CI280,CP,69,487978,2198637,4.50560681014308
CI570,SC,13,699420,1601802,2.2901861542420865
CI89,DF,64,1388770,7554966,5.440041187525652
CI676,BA,82,1787843,14304851,8.0011785151157
CI638,BA,47,1545450,8474449,5.483483127891553
CI637,BA,39,1491522,6491833,4.352488934122326
CI636,BA,33,1575886,7849090,4.980747338322696
CI543,BA,216,1876177,25357335,13.51542791538325
CI484,BA,118,1854233,18569063,10.014417281970497
CI545,BA,69,1657615,10081309,6.081815741290951
CI611,BA,35,1083030,4500557,4.155523854371531
CI620,BA,66,1605903,11269882,7.017785009430831
CI518,BA,30,1328005,5961621,4.4891555378180055
CI519,BA,24,760598,2363988,3.108064969931554
CI571,BA,34,593151,3075575,5.1851467838712235
CI622,RJ,2,121156,173716,1.4338208590577437
CI610,RJ,26,1204439,5500335,4.566719443658002
CI608,RJ,21,1190699,5320097,4.468045240652759
CI575,RJ,63,1929597,7067981,3.66293117163843
CI574,RJ,28,837924,1791755,2.138326387596011
CI573,RJ,2,40562,49065,1.2096297026773828
CI541,RJ,2,44029,64264,1.4595834563583092
CI533,RJ,3,59736,90480,1.5146645239051828
CI532,RJ,2,36496,60738,1.6642371766768962
CI531,RJ,1,17353,20316,1.1707485737336483
CI530,RJ,2,13327,18541,1.3912358370225857
